n_outputs,output_activation,lr,weight_decay,epochs,loss_ref,optimizer_ref,device,threshold,command,repo,branch,commit,sysname,nodename,release,version,machine,roc_auc,accuracy,f1_score,precision,model,kfolds,batch_size,num_workers,started_at,created_at,model_parameters_path
2,Sigmoid(),0.001,1e-05,3,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,<class 'torch.optim.adamax.Adamax'>,cpu,0.5,code/experiments/ResNet18/resnet18_trainer.py,https://github.com/MartinMoan/TDT4900-Noise-in-the-Sea-Source,main,fdf24174e23b0cfb67315503260d9107ad3a30b2,Darwin,Martins-MacBook-Pro.local,20.6.0,Darwin Kernel Version 20.6.0: Wed Jan 12 22:22:42 PST 2022; root:xnu-7195.141.19~2/RELEASE_X86_64,x86_64,0.5533333333333333,0.2222222222222222,0.0,0.0,ResNet18,5,16,8,2022.02.14T23:02:00.232216,2022.02.14T23:04:31.744253,
2,Sigmoid(),0.001,1e-05,3,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,<class 'torch.optim.adamax.Adamax'>,cpu,0.5,code/experiments/ResNet18/resnet18_trainer.py,https://github.com/MartinMoan/TDT4900-Noise-in-the-Sea-Source,main,fdf24174e23b0cfb67315503260d9107ad3a30b2,Darwin,Martins-MacBook-Pro.local,20.6.0,Darwin Kernel Version 20.6.0: Wed Jan 12 22:22:42 PST 2022; root:xnu-7195.141.19~2/RELEASE_X86_64,x86_64,0.5833333333333334,0.4444444444444444,0.5952380952380952,0.4629629629629629,ResNet18,5,16,8,2022.02.14T23:06:16.612417,2022.02.14T23:08:47.488104,models/parameters/resnet18_mode_accuracy_precision_f1_roc_auc_20220214_230847_369489.pt
2,Sigmoid(),0.001,1e-05,3,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,<class 'torch.optim.adamax.Adamax'>,cpu,0.5,code/experiments/ResNet18/resnet18_trainer.py,https://github.com/MartinMoan/TDT4900-Noise-in-the-Sea-Source,main,fdf24174e23b0cfb67315503260d9107ad3a30b2,Darwin,Martins-MacBook-Pro.local,20.6.0,Darwin Kernel Version 20.6.0: Wed Jan 12 22:22:42 PST 2022; root:xnu-7195.141.19~2/RELEASE_X86_64,x86_64,0.6818181818181818,0.1111111111111111,0.0,0.0,ResNet18,5,16,8,2022.02.14T23:06:16.612417,2022.02.14T23:11:25.611771,models/parameters/resnet18_mode_accuracy_precision_f1_roc_auc_20220214_231125_490996.pt
