INFO,Date,Content Length,ContentType,remotePath,filename
PAM Disk2/pa0558au/pa0558au_001_180901_182157.wav,2018-09-30 07:12:02 +0000 GMT,230400044,.wav,PAM Disk2/pa0558au/pa0558au_001_180901_182157.wav,pa0558au_001_180901_182157.wav
PAM Disk2/pa0558au/pa0558au_002_180901_183200.wav,2018-09-30 07:18:14 +0000 GMT,230400044,.wav,PAM Disk2/pa0558au/pa0558au_002_180901_183200.wav,pa0558au_002_180901_183200.wav
PAM Disk2/pa0558au/pa0558au_003_180901_184159.wav,2018-09-30 07:14:48 +0000 GMT,230400044,.wav,PAM Disk2/pa0558au/pa0558au_003_180901_184159.wav,pa0558au_003_180901_184159.wav
PAM Disk2/pa0558au/pa0558au_004_180901_185158.wav,2018-09-30 07:13:38 +0000 GMT,230400044,.wav,PAM Disk2/pa0558au/pa0558au_004_180901_185158.wav,pa0558au_004_180901_185158.wav
PAM Disk2/pa0558au/pa0558au_005_180901_190157.wav,2018-09-30 07:15:24 +0000 GMT,215606060,.wav,PAM Disk2/pa0558au/pa0558au_005_180901_190157.wav,pa0558au_005_180901_190157.wav
PAM Disk2/pa0566au/pa0566au_004_180902_195640.wav,2018-09-30 08:00:15 +0000 GMT,230400044,.wav,PAM Disk2/pa0566au/pa0566au_004_180902_195640.wav,pa0566au_004_180902_195640.wav
PAM Disk2/pa0563au/pa0563au_003_180902_101558.wav,2018-09-30 07:41:24 +0000 GMT,230400044,.wav,PAM Disk2/pa0563au/pa0563au_003_180902_101558.wav,pa0563au_003_180902_101558.wav
PAM Disk2/pa0564au/pa0564au_004_180902_133739.wav,2018-09-30 07:49:05 +0000 GMT,230400044,.wav,PAM Disk2/pa0564au/pa0564au_004_180902_133739.wav,pa0564au_004_180902_133739.wav
PAM Disk2/pa0564au/pa0564au_005_180902_134738.wav,2018-09-30 07:49:39 +0000 GMT,213686060,.wav,PAM Disk2/pa0564au/pa0564au_005_180902_134738.wav,pa0564au_005_180902_134738.wav
PAM Disk2/pa0566au/pa0566au_001_180902_192639.wav,2018-09-30 07:56:44 +0000 GMT,230400044,.wav,PAM Disk2/pa0566au/pa0566au_001_180902_192639.wav,pa0566au_001_180902_192639.wav
PAM Disk2/pa0566au/pa0566au_002_180902_193642.wav,2018-09-30 07:58:43 +0000 GMT,230400044,.wav,PAM Disk2/pa0566au/pa0566au_002_180902_193642.wav,pa0566au_002_180902_193642.wav
PAM Disk2/pa0564au/pa0564au_003_180902_132740.wav,2018-09-30 07:50:12 +0000 GMT,230400044,.wav,PAM Disk2/pa0564au/pa0564au_003_180902_132740.wav,pa0564au_003_180902_132740.wav
PAM Disk2/pa0563au/pa0563au_004_180902_102557.wav,2018-09-30 07:42:36 +0000 GMT,230400044,.wav,PAM Disk2/pa0563au/pa0563au_004_180902_102557.wav,pa0563au_004_180902_102557.wav
PAM Disk2/pa0563au/pa0563au_005_180902_103556.wav,2018-09-30 07:47:08 +0000 GMT,159543596,.wav,PAM Disk2/pa0563au/pa0563au_005_180902_103556.wav,pa0563au_005_180902_103556.wav
PAM Disk2/pa0563au/pa0563au_002_180902_100559.wav,2018-09-30 07:43:29 +0000 GMT,230400044,.wav,PAM Disk2/pa0563au/pa0563au_002_180902_100559.wav,pa0563au_002_180902_100559.wav
PAM Disk2/pa0564au/pa0564au_001_180902_130738.wav,2018-09-30 07:47:49 +0000 GMT,230400044,.wav,PAM Disk2/pa0564au/pa0564au_001_180902_130738.wav,pa0564au_001_180902_130738.wav
PAM Disk2/pa0564au/pa0564au_002_180902_131741.wav,2018-09-30 07:45:23 +0000 GMT,230400044,.wav,PAM Disk2/pa0564au/pa0564au_002_180902_131741.wav,pa0564au_002_180902_131741.wav
PAM Disk2/pa0571au/pa0571au_002_180903_105223.wav,2018-09-30 08:27:17 +0000 GMT,230400044,.wav,PAM Disk2/pa0571au/pa0571au_002_180903_105223.wav,pa0571au_002_180903_105223.wav
PAM Disk2/pa0575au/pa0575au_004_180903_233245.wav,2018-09-30 09:02:41 +0000 GMT,230400044,.wav,PAM Disk2/pa0575au/pa0575au_004_180903_233245.wav,pa0575au_004_180903_233245.wav
PAM Disk2/pa0575au/pa0575au_005_180903_234244.wav,2018-09-30 09:00:59 +0000 GMT,161842988,.wav,PAM Disk2/pa0575au/pa0575au_005_180903_234244.wav,pa0575au_005_180903_234244.wav
PAM Disk2/pa0574au/pa0574au_001_180903_200711.wav,2018-09-30 08:46:38 +0000 GMT,230400044,.wav,PAM Disk2/pa0574au/pa0574au_001_180903_200711.wav,pa0574au_001_180903_200711.wav
PAM Disk2/pa0574au/pa0574au_002_180903_201714.wav,2018-09-30 08:50:41 +0000 GMT,230400044,.wav,PAM Disk2/pa0574au/pa0574au_002_180903_201714.wav,pa0574au_002_180903_201714.wav
